PoS-tag n-grams	1939_DWF	1939_DNS	1939_NWF	1939_NNS	1939_OFL	1980_NWF	1980_DWF	1980_NNS	1980_OFL	1980_DNS	DEU	NDL
('PRON', 'VERB')	0.18898462125350812268	0.14669857193946578278	0.14350832156650514260	0.17072122223264463159	0.15902635520557759086	0.14324951220002221652	0.16759853433515040089	0.15132796517667965186	0.11415091803164910400	0.12185420857878803691	0.01860366046686547092	0.06119020011851650231
('VERB', 'ADV')	0.05184126361695217539	0.06561421132890568608	0.06042102697729959809	0.07199646114064470193	0.06886666045693889959	0.06467552407209409271	0.04675078663891675534	0.07881079508365881892	0.05705265619560249274	0.05122533609044592484	0.02872027885019544022	0.03565076826144755046
('ADV', 'ADJ')	0.03668412140474187899	0.05735156076818995197	0.08047195601860102077	0.08095739407231293538	0.04373704340997790901	0.07420876656526545490	0.03499630314113197360	0.07465250714341585547	0.05577569826316694512	0.05743446773777270004	0.03679992685878231973	0.04417182405762576369
('ADJ', 'ADP')	0.01377573178274302777	0.02654112704669985001	0.04157717727627719545	0.03816121438141468342	0.01572998929657100364	0.04676306317703002313	0.01360022884041214679	0.04779221477265727103	0.01746696029010052359	0.01008983892690601576	0.01482874295465684555	0.03543714847825645692
('ADP', 'DET')	0.16515529134519774113	0.20533254802061554067	0.22056021945431564246	0.17628318060402492495	0.14655746125097862675	0.26964023767527828257	0.18581312653213097330	0.26098876133051934767	0.26232364383461670432	0.24758912443715530571	0.30456219120296695868	0.35214034482479084076
('DET', 'NOUN')	0.49433388493366869909	0.46996462943670175294	0.44695465571997983201	0.39489904436799971865	0.47535260337686519039	0.49793630790648707451	0.53087036111173058206	0.44830839442240999482	0.49878888953741362666	0.48896911722698382929	0.56411636802725084738	0.48712431227009861390
('NOUN', 'CCONJ')	0.08134972529085018889	0.07720464846122598868	0.06317048547460180075	0.05160261377891701973	0.05198569633378953558	0.06251800077100794217	0.08451570779398977218	0.07729358191627287711	0.06489682635199228722	0.06209131647326778664	0.05656757039692955624	0.04925122779128073697
('CCONJ', 'ADP')	0.01485016211677312424	0.01725579085666173809	0.02313568735534779486	0.01344139939750233805	0.01055060257696835598	0.01996963427516947401	0.01253163943152262212	0.01888087497191398567	0.02029450999763637853	0.02250810222155957135	0.00791307801735173164	0.01082340234834892369
('NOUN', 'PUNCT')	0.23873458297029456765	0.27532969776090288061	0.24691478505040745373	0.22495031635360235311	0.26376506442420888376	0.20220509077621351413	0.29111775555360785983	0.27107541923962219510	0.27057826475500368346	0.25302211462856621926	0.18450536486970989247	0.21421317147773910605
('PRON', 'AUX')	0.10067028504742711603	0.09897324257108806866	0.11353251794957627818	0.11757362001723309364	0.10051846818784397619	0.09819239767966496391	0.09461873493258164680	0.09926507630323229414	0.09289868958468606996	0.10555523800455524075	0.01424273768428740462	0.05463919343398952050
('AUX', 'PRON')	0.08090844140365925641	0.10145690767087099660	0.07933193664167084713	0.08234788366515799485	0.09111884043745398232	0.06367202486228658309	0.08718718131621358558	0.08715546750428151968	0.10557705762815329520	0.10012224781314431332	0.02357868466291287990	0.02781804287777399007
('PRON', 'ADV')	0.11051283435738139260	0.14664987262378376132	0.14505070072352835298	0.16778574420330505390	0.13639051694953638338	0.11876413148071894577	0.10241458039288933723	0.13727969510829127198	0.13157227268130550213	0.12883948168203065987	0.03025954611859736285	0.03560329719851619557
