PoS-tag n-grams	1939_DWF	1939_DNS	1939_NWF	1939_NNS	1939_MVP	1939_OFL	1980_DWF	1980_NNS	1980_NWF	1980_DNS	1980_MVP	1980_OFL	2000_DEU	2000_NDL
('DET', 'ADJ')	0.08929304092532232284	0.13566519146555255926	0.11129976460408530503	0.10885445559028168738	0.16552270559447951337	0.12222722232849717039	0.09259828178592194314	0.11475118603064611567	0.14067493507948761189	0.14511081768242237167	0.13571462500387049266	0.11987319062343876341	0.17934913963212767429	0.19846747725917965322
('ADJ', 'NOUN')	0.12915930144592921436	0.17032326038811576585	0.14082406983527387401	0.12968161600217414930	0.19497265577608613452	0.16784312348458702013	0.13448084211549460321	0.17779507488217133337	0.18650613300997792576	0.20773974604747350026	0.19455138458638679411	0.16008754395687799232	0.30505624143761267408	0.25392509575609667483
('NOUN', 'VERB')	0.22330642872167730251	0.19109284996101796872	0.14308988860883020688	0.15457658118201436648	0.17039472927185703166	0.20176263972885896680	0.19202323640089316581	0.18791602206102603345	0.16841225443438306852	0.21480085071608220892	0.19861469671225118194	0.18830099229779312386	0.20997670509389099180	0.13598916025041887790
('VERB', 'DET')	0.06264170750321289283	0.06426578171797696359	0.04243260612296404638	0.04621026216388639946	0.05535765256013169822	0.07836577890918000611	0.07767646651431757421	0.04743840605060955368	0.05408280189628358187	0.03991059160517963778	0.04372123847430078869	0.04496942889651480563	0.04383642942457281755	0.05085581611100262883
('DET', 'NOUN')	0.51375797585722859928	0.48622303614131495708	0.46771992380199206574	0.42516695434589846236	0.47746978396811873280	0.48013660063012525425	0.54569562773018653878	0.44512378025437865370	0.50359638420151553451	0.49530067530530624831	0.48109615570234326443	0.50041509497128766615	0.52727911587850762043	0.47644387351943573439
('NOUN', 'CCONJ')	0.07755464199425472771	0.07700214857613202346	0.06007852808672094203	0.05174247664829533661	0.06839174884525692222	0.05185397310905940499	0.08394962533020071394	0.07395641849129594436	0.06069402676044324818	0.06784800572880538005	0.07053909850500574008	0.06534832416683873657	0.06699313775070636634	0.04194719867160425636
('CCONJ', 'DET')	0.04025384916455725104	0.04728395924043688608	0.05225115414170815320	0.04311873054024611268	0.05791403204261447862	0.03021566102219627042	0.04245913742662074664	0.03152194442576260885	0.03260874820217098125	0.03264481723603154806	0.04469643338450824538	0.03554985063823174612	0.02576725859061527318	0.02078677402526286910
('NOUN', 'PUNCT')	0.22168224773750441758	0.26217661245064671771	0.24882809804145908372	0.22568180852574096229	0.21418562444263836153	0.24640384214229732462	0.27721826826071771510	0.27303940741167287420	0.20251225636531186569	0.25031104375966511943	0.24136074027634452088	0.27153745786858285438	0.17509246830386313021	0.21058162371098845811
('PUNCT', 'ADV')	0.07532139314101703176	0.08235236959833099057	0.11397755042737915676	0.08884085613197878484	0.08093291097008278867	0.10663204244607328575	0.07707682633338756861	0.05023721546599116405	0.04473761186273458174	0.06109390561100574990	0.06387526661858813903	0.09732054652428027974	0.02667271190494049579	0.03461184700516806850
('ADV', 'DET')	0.04108439625873656215	0.06136182694486602696	0.06591472795800240592	0.07012895419941914121	0.05531179821963873311	0.06822891198560447623	0.03994526128349110833	0.06751067559526556516	0.06114140287907059157	0.05219077363754260485	0.05574864236685937030	0.06901652531549704039	0.04454067089127020790	0.04420876822023740021
