character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('e', 'd')	3895	4248	1114	413	6324	252	1336	3518	2106	727	415	1109	31505	5918
('d', 'e')	21354	32081	8085	3013	49437	2644	12982	18547	11523	5016	3243	12078	350594	37468
('j', 'ü')	380	593	0	0	213	75	168	1	1	138	5	129	637	0
('ü', 'n')	1399	3037	7	1	3498	161	698	7	1	491	440	956	13808	5
('f', 'l')	571	738	59	12	1047	71	545	215	116	58	68	111	7060	383
('l', 'ü')	629	2161	5	1	2436	93	910	3	0	274	189	1016	2665	7
('ü', 'c')	501	1226	3	0	1318	69	433	0	0	152	104	350	7506	8
('h', 't')	4484	4875	759	394	9246	482	3723	3037	1659	863	835	2103	75648	3777
('e', 'o')	5266	29	3	0	37	4	855	55	15	21	15	4	4826	383
('o', 'r')	5410	4854	1993	715	9747	478	2717	3807	3481	1376	822	2889	83460	12616
('r', 't')	3005	4478	846	293	6916	346	2892	1949	1203	1034	508	1640	82021	3989
(' ', 'l')	6921	8828	1897	743	10588	699	5646	5027	2600	1223	892	2700	44690	5311
('l', 'i')	3309	4220	1036	362	8090	321	3593	2331	2205	954	745	1461	109987	9054
('f', 'a')	4052	1276	21	5	1489	158	910	93	61	275	127	395	22072	516
('a', 's')	3535	5437	1895	1134	11020	416	3985	5208	2168	842	489	2532	66265	3298
('w', 'u')	3342	1888	63	11	2352	62	1079	191	44	144	204	273	7155	46
('u', 'o')	1733	3	1	0	7	0	3218	18	4	2	1	0	240	18
('o', 'ß')	89	240	0	0	348	79	68	0	0	14	37	11	4792	0
('ß', ' ')	399	1319	0	0	1075	71	404	0	0	32	70	341	5060	0
('r', 'a')	3089	3448	827	282	7073	334	3942	2819	1765	1074	447	1381	71854	6428
('s', 'k')	2005	349	271	77	455	7	1047	646	327	189	37	43	6473	517
('e', 't')	13432	7519	3046	793	6915	1294	9201	5525	7993	1357	623	6254	104051	15483
(' ', 'g')	12333	11816	2899	1171	15856	996	7675	7336	4228	1401	1153	3699	105527	11334
('g', 'r')	1454	2664	436	168	3409	182	1367	1919	735	555	250	642	29693	2841
('r', 'ä')	403	458	27	0	949	89	1218	0	11	71	251	209	13869	0
('ä', 's')	675	315	3	0	392	47	758	0	22	57	95	125	4211	0
('s', 's')	1696	1338	430	125	1515	146	2041	533	782	678	331	1464	70925	2739
(' ', 't')	6587	8691	2664	1076	11474	591	6118	12747	5338	1627	949	3103	51067	10319
('k', 'a')	2471	3207	578	117	5268	245	1913	1105	1275	658	309	796	35776	2359
('i', 'm')	1393	602	89	43	1122	116	1598	540	273	351	100	559	41476	911
('t', 'r')	1732	2115	422	173	2995	204	1879	1511	794	295	245	799	51797	3526
('u', 'ü')	2692	3	0	0	2	0	0	0	0	0	0	0	13	1
('ü', 'g')	594	275	2	0	756	21	355	2	0	12	12	154	4071	0
('g', 'g')	3954	2300	394	146	3720	312	1804	564	337	222	123	760	760	468
('i', 'k')	5037	6351	1364	524	1706	111	835	3730	1913	1003	375	2538	20347	2127
('d', 'a')	11287	14048	3242	1254	16319	1137	10218	5167	3587	2338	1444	5789	78966	6398
('a', 't')	9709	13820	2428	1347	20279	979	8562	7400	3182	3462	1838	6448	92863	8923
('f', 'r')	2139	2605	78	7	5231	227	1817	174	105	292	258	937	18565	945
('u', 'w')	673	68	583	99	1206	12	203	1134	579	1	18	0	956	2153
('w', 'w')	3650	39	35	11	1994	42	1753	67	9	7	9	30	2096	57
('k', 'u')	1792	1790	261	32	1882	91	831	234	405	487	100	706	18520	796
('ü', 'r')	1374	945	14	0	3388	34	302	1	1	51	146	187	43230	4
('o', 'w')	1882	199	372	18	588	77	907	82	206	23	44	31	10035	211
('n', 'i')	7337	7040	1239	535	9032	637	4600	1837	2520	955	971	2758	68112	5889
('h', ' ')	5121	12211	700	204	18490	937	3578	919	841	1642	1844	5053	113579	1610
('o', 'g')	1017	1896	894	492	2338	123	455	2502	1386	197	89	76	11346	2452
(' ', ':')	3030	2015	465	187	2928	244	2838	973	379	320	73	1026	13674	1201
(':', ' ')	3009	1878	415	178	2471	223	2801	949	329	264	68	1003	1183	683
('w', 'a')	4730	6454	2536	1304	10634	444	5093	6913	3524	1074	558	3538	38787	4770
('u', 'l')	1626	3902	439	267	3710	179	1033	2155	832	408	216	782	11618	1194
('l', 't')	2088	2825	561	190	3339	204	2014	1186	647	548	298	922	46707	1143
('d', 'i')	2658	3187	779	445	4481	239	6454	4289	1954	475	458	723	147766	6142
('i', 'u')	7492	11	2	1	111	740	1137	29	11	54	14	9	4922	111
('u', ' ')	5944	5224	427	654	10421	704	5408	2598	636	374	842	59	34751	1213
(' ', 'i')	12234	12314	3355	1322	19322	902	10873	8338	5850	2633	1778	4833	151459	12522
('i', 'a')	5843	454	38	6	369	10	2588	161	312	277	37	77	17018	1198
(' ', '?')	1371	2961	525	214	3208	219	1005	1408	565	209	336	999	1289	2546
('t', 'o')	2252	6506	884	398	2623	153	877	3935	1470	1126	153	635	22201	4209
('e', 'm')	6070	4724	742	240	6100	146	2241	1609	1009	568	371	1423	74341	4426
('m', 'o')	2037	1898	893	646	971	95	1610	5299	920	240	140	473	20473	2649
('n', 's')	2749	5144	908	424	7584	263	2478	3393	1289	1261	676	1630	63950	5463
('g', 'o')	3048	1539	539	317	1654	43	763	1738	539	183	118	198	2223	1018
('t', 't')	4577	6573	649	169	8185	456	5469	1159	554	1450	801	2223	35405	1485
('h', 'ä')	3713	280	6	0	822	60	2659	1	1	12	47	1609	16228	0
('ä', 't')	2216	218	16	0	398	48	2194	0	16	23	126	153	15589	1
('m', 't')	187	963	109	46	1340	103	232	426	354	196	93	298	10514	654
('g', 'i')	1527	367	396	73	808	106	875	700	976	253	134	247	20333	2366
('i', 'e')	7134	9626	4719	2316	2621	258	3915	17346	11680	1847	2097	6308	250007	15310
('e', 'w')	2869	872	348	45	4933	124	1497	478	453	51	137	496	16457	1406
('s', 'a')	3796	2057	61	6	3503	330	3714	180	214	251	184	389	36452	1034
('a', 'l')	3976	8046	1855	729	9511	583	4210	5413	3076	1707	680	3463	92398	9437
('l', ' ')	6797	14755	2481	1537	17087	809	5966	8822	4054	1622	1152	3632	66325	7412
('k', 'l')	736	1617	337	122	1710	74	898	964	616	300	158	403	15830	976
('r', 'm')	889	1552	247	104	2258	90	621	713	376	166	114	224	24988	1483
('a', 'k')	1644	1821	594	154	2562	198	1529	2165	1094	861	114	869	14388	2391
('h', 'ö')	385	1600	62	5	1669	93	577	63	34	206	76	472	7998	2
('ö', 'l')	446	762	260	12	1391	83	576	76	307	101	74	405	1303	0
('f', 'o')	2852	713	43	4	796	77	444	239	137	261	66	774	27641	488
('d', 'r')	1774	2130	441	128	2939	168	1818	1100	632	309	140	814	13927	1786
('n', 'k')	1813	2379	678	184	3020	192	1799	1725	802	328	265	770	23693	1766
('m', 'i')	1443	8232	1158	728	13395	305	3049	5592	1889	1380	1000	2598	84548	3295
('l', 'k')	721	590	177	134	354	57	687	1176	250	78	37	103	2189	1513
('o', 'f')	663	684	831	333	995	39	532	1583	996	123	77	227	22771	1678
('r', 'k')	1187	1748	403	119	1522	118	922	1265	620	225	125	550	36029	2556
('p', 'w')	75	35	3	1	64	4	9	14	3	10	5	9	160	27
('k', 'ü')	1162	414	0	0	1435	132	1264	0	0	56	129	57	6780	4
('ü', 'm')	2196	2130	5	0	3924	216	1481	0	0	314	272	117	419	1
('m', 'm')	3819	2766	614	83	5136	417	2833	1327	719	441	350	1238	34888	984
('e', 'c')	1863	1844	229	56	2587	908	1617	459	508	150	314	829	36262	2443
('t', 'i')	1668	2672	870	370	4745	185	2195	2106	2251	658	372	1305	92798	7879
('i', 'g')	4156	3994	1073	317	7040	297	3386	909	1511	594	470	1735	70103	4422
('g', 'k')	173	107	15	6	307	15	584	52	11	12	4	20	2751	79
('k', 'o')	1323	2131	858	531	2802	201	1395	3579	1323	157	211	463	45586	2856
('o', 's')	2422	1678	444	129	1981	129	1205	920	655	264	168	332	26408	1490
('r', 'd')	2107	1773	961	445	4768	153	1317	3378	1650	488	391	600	62265	8344
('g', 'n')	343	409	26	2	450	13	170	53	24	22	14	55	5125	161
('n', 'a')	2187	4831	652	181	6025	339	2820	3198	1306	1169	333	1951	56225	5027
('a', 'd')	2396	1635	820	165	6627	186	785	1407	689	200	139	468	12332	2690
('h', 'e')	5319	15249	2647	1011	24798	1701	6815	4557	4762	2241	1544	4924	145759	14439
(' ', 'c')	723	117	34	4	268	9	264	397	401	136	66	133	31183	3001
('h', 'r')	2276	3379	161	30	8313	313	2996	507	163	855	595	1730	58161	515
('t', 'u')	2056	1371	280	101	2371	94	743	749	510	253	148	448	28538	1959
('d', 'd')	4311	2530	526	83	7732	214	906	648	393	343	342	619	1413	855
('e', 'f')	810	1354	642	105	579	75	819	1048	1195	142	203	639	22284	2387
('f', ' ')	1444	2084	1337	424	1005	121	1427	2827	1980	206	310	619	43646	2409
