character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('p', 'a')	742	2064	272	72	2109	143	902	1100	798	277	135	469	24626	2580
('u', 'c')	371	891	47	21	1304	78	488	205	356	55	77	365	28593	657
('m', 'g')	14	44	9	3	78	1	20	25	40	18	5	1	1758	81
('g', 'u')	399	814	164	86	1431	46	1128	304	222	43	63	79	13699	423
('l', 'n')	431	1291	30	8	637	34	314	239	90	64	59	150	6600	90
('n', 'b')	315	592	101	26	784	49	253	297	131	70	55	124	11004	509
('o', 'h')	1275	1506	4	0	2238	92	2437	62	58	356	225	722	7550	134
(' ', '»')	7	1343	0	0	3858	0	1179	0	0	0	0	0	0	591
('»', ' ')	7	1349	0	0	5458	0	1179	0	0	0	0	0	0	539
('e', 'h')	864	2873	151	18	4783	213	1019	201	116	653	295	1282	55765	868
('n', 'd')	3676	4984	2231	858	7463	444	3983	6178	3577	1034	580	2707	191895	12381
('d', 's')	169	486	148	49	626	19	215	570	234	94	31	110	7889	2201
('f', 'i')	881	1078	88	46	1499	53	774	372	298	179	176	474	25111	1044
('o', 'b')	249	780	38	66	587	49	506	227	73	71	46	749	17214	552
('d', 'ü')	1163	888	5	1	1529	89	1283	5	0	502	165	1283	2349	1
('ü', 't')	625	1734	3	0	2070	93	546	3	2	564	228	1910	3677	2
('m', '.')	1	20	2	2	61	2	5	4	0	0	0	4	154	50
('.', ' ')	653	1532	582	209	2488	210	1096	996	709	141	94	651	9006	1650
('e', 'g')	3272	5758	1371	607	6848	447	1436	5250	2205	729	330	1765	43130	4773
('t', 'z')	210	1004	29	9	1996	76	513	118	72	76	169	253	50035	216
('z', 'ü')	1	5	9	1	20	0	13	1	0	1	1	8	649	2
('s', 'ä')	411	910	0	0	3142	73	468	0	0	13	41	1158	4089	0
('ä', ' ')	193	886	7	0	7	61	985	0	0	14	4	2000	5	0
(' ', '„')	547	37	51	77	4	237	521	2	0	126	97	1706	0	0
('„', ' ')	558	37	61	77	4	237	524	2	0	127	97	1732	0	0
('k', 'r')	1143	2099	449	184	2110	200	1030	1166	468	206	222	734	8529	1045
('o', 'n')	2890	3128	1815	812	7468	252	2351	5232	2566	728	593	1545	152178	10174
('d', 'u')	2315	2846	277	122	3893	79	1627	888	373	338	330	312	24653	1448
('g', 'h')	31	45	76	24	18	2	11	162	55	17	11	4	2376	310
('n', '.')	176	456	8	30	883	76	383	25	11	26	26	162	490	105
(' ', '“')	1012	122	119	135	5	476	621	649	318	331	159	2113	0	0
(' ', '–')	517	1936	1	1	4561	0	288	93	5	219	89	1153	0	0
('–', ' ')	352	1771	1	1	1867	0	269	90	4	215	89	1038	0	0
('o', "'")	8	311	125	70	455	1	29	67	0	15	5	0	30	63
(' ', '!')	1693	5388	1236	276	4891	326	2068	1233	248	191	216	438	490	171
('m', 'p')	349	501	249	36	785	58	317	365	292	60	31	202	15318	746
('ö', 'm')	209	296	47	8	193	24	128	19	30	59	28	177	426	0
('a', 'w')	1644	708	25	7	751	25	580	14	99	6	76	5	829	22
('a', 'j')	48	21	39	10	182	0	53	23	87	2	0	2	97	71
('b', 'i')	1870	2398	688	401	3172	135	1762	2865	1494	596	287	1296	35720	2545
("'", 't')	136	2329	2177	1153	4469	13	637	42	64	144	79	0	1549	75
('m', 'â')	3	0	59	18	0	0	27	0	0	0	0	0	2	0
('â', 'e')	1	0	104	0	0	0	225	0	0	0	0	0	0	0
('d', 'â')	1	0	14	18	0	0	35	0	0	0	0	0	0	0
('w', ' ')	277	166	872	71	3219	43	435	712	528	7	40	7	2398	804
(' ', 'z')	113	197	5600	2568	505	66	305	10759	5756	34	35	296	85534	9437
('z', 'e')	339	740	2820	1475	1330	148	717	6172	2990	92	125	490	63344	4627
('z', 'a')	92	30	515	134	159	7	112	1726	550	5	4	39	6923	1413
("'", ' ')	120	2509	1378	920	6775	15	1390	370	62	216	131	0	618	1190
('b', 'o')	725	1223	460	278	1120	108	806	2080	650	192	128	338	12914	2041
('o', 'a')	473	95	1230	1252	156	0	630	14251	508	48	71	129	2924	232
('z', 'o')	8	17	1393	574	563	45	39	2607	1003	3	5	9	2727	2694
('k', 'k')	127	46	612	156	57	66	238	1589	883	11	5	21	1369	1115
('p', 'i')	401	659	191	96	1077	42	466	565	354	97	65	219	12763	918
('n', 'â')	0	0	10	72	0	0	17	0	0	0	0	0	0	0
('v', 'u')	113	620	147	35	467	46	116	305	329	1004	17	98	85	161
('o', 'i')	267	48	238	144	194	9	660	733	530	24	0	6	1414	519
