PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('CCONJ', 'PRON')	1666	2448	787	402	4918	171	1707	1664	873	293	251	791	3119	504
('NOUN', 'ADJ')	1177	1799	514	166	2104	144	908	1368	769	308	190	518	32922	1122
('ADJ', 'PUNCT')	1580	3986	1030	404	4095	222	1659	1914	1025	444	367	1335	17010	1280
('AUX', 'AUX')	174	210	75	31	506	7	48	117	82	57	34	52	4029	495
('INTJ', 'PUNCT')	531	2433	706	270	3338	263	630	981	426	120	260	940	0	0
('PUNCT', 'VERB')	3479	5191	1112	626	7587	411	2834	2931	1323	495	282	1628	26020	1521
('AUX', 'CCONJ')	413	473	120	56	699	15	219	303	147	93	67	151	2407	102
('PUNCT', 'INTJ')	496	1649	480	197	3109	214	514	703	368	110	42	672	0	0
('INTJ', 'INTJ')	22	175	38	12	238	17	17	80	30	14	13	77	0	0
('PUNCT', 'PROPN')	499	1904	334	95	1934	42	493	955	327	338	200	438	17512	3259
('PROPN', 'VERB')	1372	1837	324	154	1775	48	1450	1423	746	163	132	565	30446	2141
('PUNCT', 'AUX')	810	1581	204	140	1912	73	595	728	366	232	141	601	12910	908
('ADJ', 'ADJ')	607	1781	482	174	2494	112	507	1326	876	322	159	496	18459	1915
('CCONJ', 'ADV')	1085	2201	719	267	3938	128	1208	1282	759	371	282	1059	7722	491
('ADV', 'AUX')	2193	2793	877	312	3512	229	1958	1403	706	415	353	1335	13080	1349
('ADV', 'ADV')	3039	5974	2066	1045	8530	464	2485	4917	2584	762	679	3208	24426	1993
('ADV', 'ADP')	2473	4877	1298	677	6586	320	2052	3813	1796	712	451	1765	29512	2336
('ADP', 'PROPN')	1587	1413	301	162	1665	28	1434	1800	915	328	247	311	43120	5166
('DET', 'ADV')	67	43	66	48	63	7	50	160	95	7	3	27	5718	170
('ADV', 'NOUN')	608	883	301	125	1027	74	566	905	379	194	184	354	7027	696
('ADV', 'PART')	1005	1540	340	180	2074	137	613	1072	651	151	194	655	6632	608
('PART', 'PUNCT')	649	877	193	88	1251	71	257	330	257	81	104	351	1330	103
('ADV', 'SCONJ')	152	99	143	66	147	9	208	420	238	28	20	32	865	357
('VERB', 'PART')	430	426	195	54	427	36	275	396	268	52	35	113	2723	303
('PART', 'VERB')	2136	2511	865	314	2869	193	1404	2032	1256	315	299	705	17926	2211
('PROPN', 'DET')	534	549	90	40	1046	12	419	330	202	69	58	128	8368	863
('AUX', 'ADJ')	558	1024	177	81	871	42	474	590	370	146	115	298	6557	634
('CCONJ', 'ADJ')	625	1306	283	111	1287	54	649	618	308	187	125	283	10237	566
