PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('PRON', 'AUX', 'DET')	806	833	159	89	1227	72	643	435	242	98	80	223	1681	696
('AUX', 'DET', 'NOUN')	1400	1444	239	110	1837	99	1164	667	424	280	174	558	17248	1584
('PRON', 'VERB', 'NOUN')	264	165	33	7	183	22	164	155	61	29	9	50	255	66
('VERB', 'NOUN', 'CCONJ')	159	138	10	5	128	2	103	70	17	19	10	30	444	34
('CCONJ', 'VERB', 'DET')	519	587	52	29	978	48	404	175	81	29	28	87	882	82
('NOUN', 'ADV', 'PUNCT')	708	1094	114	51	1617	90	657	264	130	120	76	523	3126	112
('SCONJ', 'DET', 'NOUN')	1081	847	264	111	1113	70	756	410	339	145	113	292	8006	1158
('DET', 'NOUN', 'NOUN')	507	493	224	101	1354	74	684	837	374	105	61	154	4694	992
('NOUN', 'NOUN', 'VERB')	212	198	64	28	473	30	256	259	111	44	35	68	4789	251
('AUX', 'PUNCT', 'ADV')	540	498	105	57	976	57	279	86	45	68	51	170	1660	73
('PUNCT', 'ADV', 'VERB')	1597	1840	431	123	2223	233	1351	407	332	112	97	525	1704	218
('NOUN', 'CCONJ', 'NOUN')	1449	1922	214	85	1850	58	1335	689	277	280	170	402	18948	897
('CCONJ', 'NOUN', 'CCONJ')	117	246	36	16	391	4	145	81	21	15	21	69	1412	23
('CCONJ', 'NOUN', 'ADP')	261	322	104	17	433	10	217	265	113	78	42	54	5069	304
('NOUN', 'ADP', 'CCONJ')	178	247	44	14	376	19	121	161	65	19	13	64	475	45
('ADP', 'CCONJ', 'PART')	4	3	1	0	0	0	0	0	1	1	0	1	3	0
('CCONJ', 'PART', 'CCONJ')	7	1	1	0	2	0	0	1	0	1	0	0	25	0
('PART', 'CCONJ', 'NOUN')	9	7	1	0	8	0	1	7	1	1	1	3	86	0
('CCONJ', 'NOUN', 'PUNCT')	603	807	135	59	589	30	641	353	129	134	66	177	4595	424
('DET', 'NOUN', 'PROPN')	315	198	23	10	997	23	389	160	59	58	45	52	12686	1004
('NOUN', 'PROPN', 'PROPN')	80	80	6	0	166	12	37	97	38	19	36	10	7978	763
('PROPN', 'PROPN', 'CCONJ')	18	85	10	9	123	2	26	101	27	26	21	8	1399	309
('PROPN', 'CCONJ', 'NOUN')	38	76	7	2	103	1	52	69	13	14	9	17	1104	70
('NOUN', 'PUNCT', 'DET')	618	815	170	67	789	47	650	307	151	134	78	347	5045	525
('PUNCT', 'DET', 'NOUN')	1605	2083	431	166	2360	138	1435	684	319	298	187	905	12438	873
('NOUN', 'PUNCT', 'PRON')	2436	2249	402	215	2893	202	1560	576	185	308	179	724	10969	569
('PUNCT', 'PRON', 'PRON')	1236	1087	119	66	1453	60	571	136	55	167	90	250	2839	115
('PRON', 'PRON', 'ADJ')	235	362	67	35	334	10	163	149	100	39	25	59	698	94
('PRON', 'ADJ', 'VERB')	320	425	93	45	401	22	214	220	121	65	44	92	708	136
('ADJ', 'VERB', 'CCONJ')	176	194	41	20	191	5	82	103	59	27	18	44	885	50
('VERB', 'CCONJ', 'PRON')	496	270	63	24	338	16	284	212	77	41	36	112	775	69
('CCONJ', 'PRON', 'PRON')	131	141	27	12	259	10	75	41	11	19	12	36	67	23
('PRON', 'PRON', 'ADP')	714	756	146	59	1327	59	405	297	168	112	68	152	2004	157
('DET', 'NOUN', 'ADJ')	727	1144	284	102	1301	81	499	658	463	160	99	338	14851	523
('NOUN', 'ADJ', 'NOUN')	248	161	64	20	275	41	192	231	96	41	43	52	12302	330
('ADJ', 'NOUN', 'CCONJ')	525	717	112	59	1173	46	403	401	227	109	75	172	9107	499
('CCONJ', 'DET', 'NOUN')	1735	2185	571	198	3419	113	1516	828	486	221	194	588	9224	631
('AUX', 'PUNCT', 'PRON')	683	440	64	77	964	27	213	81	22	60	30	120	1565	18
('PRON', 'VERB', 'DET')	814	719	139	84	776	89	672	436	329	91	49	168	1531	324
('CCONJ', 'NOUN', 'ADJ')	40	80	16	0	43	6	30	42	24	17	8	7	1148	34
('NOUN', 'ADJ', 'PUNCT')	203	458	138	36	328	28	233	234	144	55	26	169	3922	144
('VERB', 'ADV', 'PUNCT')	534	688	124	69	713	65	416	238	90	70	61	274	1580	63
('ADV', 'PUNCT', 'SCONJ')	523	431	96	55	508	44	287	80	35	71	54	160	2826	40
('PUNCT', 'SCONJ', 'DET')	808	696	183	96	869	60	503	119	42	144	93	236	8985	314
('SCONJ', 'DET', 'ADJ')	144	170	56	26	359	14	83	90	78	33	13	49	2231	397
('NOUN', 'PUNCT', 'SCONJ')	642	741	177	106	980	63	412	226	64	91	42	134	3876	263
('NOUN', 'VERB', 'CCONJ')	1220	976	142	58	1206	65	729	414	192	146	102	309	5513	182
('VERB', 'CCONJ', 'DET')	448	379	98	18	395	13	275	148	84	29	35	92	1784	77
('NOUN', 'ADJ', 'VERB')	302	366	87	31	480	32	160	212	149	84	45	86	4787	168
('ADJ', 'VERB', 'AUX')	189	395	54	55	563	16	93	189	89	88	49	70	3114	79
('VERB', 'AUX', 'AUX')	78	32	7	2	125	0	7	23	9	47	13	27	2805	102
('AUX', 'AUX', 'PUNCT')	151	151	42	17	395	3	26	58	48	52	21	32	3735	120
('INTJ', 'PUNCT', 'NOUN')	46	229	52	20	291	21	48	75	28	5	15	32	0	0
('PUNCT', 'NOUN', 'PUNCT')	910	1185	287	95	1360	88	806	609	155	203	109	692	4933	611
('NOUN', 'PUNCT', 'VERB')	540	751	145	76	792	91	606	489	155	98	60	394	4958	397
('PUNCT', 'VERB', 'PUNCT')	199	279	122	64	313	21	260	253	69	81	38	273	3634	224
('AUX', 'DET', 'ADJ')	355	533	101	52	847	48	265	262	146	90	47	166	5275	805
('DET', 'ADJ', 'VERB')	122	106	49	15	153	18	82	82	57	29	11	39	265	193
('ADJ', 'VERB', 'PUNCT')	829	1300	343	154	1273	89	544	632	400	188	139	362	7297	484
('NOUN', 'ADV', 'VERB')	764	695	106	68	1542	79	605	305	166	104	62	359	3983	293
('DET', 'NOUN', 'AUX')	1842	1943	481	170	2493	148	1393	886	629	320	210	1074	21042	2406
('NOUN', 'AUX', 'CCONJ')	57	71	33	7	117	4	42	51	28	14	10	23	381	25
('AUX', 'CCONJ', 'PRON')	97	92	19	11	140	4	49	60	23	15	13	37	209	19
('CCONJ', 'PRON', 'AUX')	314	733	266	148	1666	55	367	580	311	96	77	233	546	163
('NOUN', 'AUX', 'PUNCT')	642	560	189	94	1089	38	452	320	178	113	86	238	3592	308
('NOUN', 'VERB', 'ADP')	392	687	155	61	687	37	464	683	279	117	55	205	5461	1228
('VERB', 'ADP', 'NOUN')	303	405	99	45	373	22	358	702	150	48	19	83	2109	628
('NOUN', 'ADP', 'NOUN')	1024	1256	308	130	1695	106	1087	1936	524	357	184	476	33850	2140
('NOUN', 'ADP', 'PRON')	714	398	91	45	878	28	429	348	212	57	62	99	3575	212
('PRON', 'PRON', 'VERB')	1542	1007	179	97	1112	87	962	327	165	87	101	278	646	135
('PRON', 'VERB', 'PUNCT')	3524	2559	530	272	2850	254	2442	790	425	281	249	830	2718	321
('PUNCT', 'INTJ', 'INTJ')	17	144	19	8	207	17	12	43	20	12	1	43	0	0
('INTJ', 'INTJ', 'PUNCT')	22	170	30	11	213	17	16	76	29	13	13	76	0	0
('INTJ', 'PUNCT', 'PROPN')	20	223	42	12	188	13	20	32	16	8	39	24	0	0
('PUNCT', 'PROPN', 'VERB')	51	163	34	7	183	1	75	97	27	10	2	93	406	45
('PROPN', 'VERB', 'ADV')	114	232	45	28	297	8	107	242	120	21	14	115	2993	239
('ADV', 'PUNCT', 'AUX')	14	57	6	2	76	2	22	18	8	5	12	30	87	14
('PUNCT', 'AUX', 'PRON')	411	828	111	79	1026	41	286	389	194	91	72	255	2550	131
('AUX', 'PRON', 'ADV')	979	2122	501	242	2631	174	862	1133	570	196	247	842	4029	281
('PRON', 'ADV', 'ADJ')	387	893	309	152	978	51	321	626	336	105	84	229	2182	195
('ADV', 'ADJ', 'ADJ')	113	331	111	52	327	19	64	268	175	42	27	117	2257	164
('ADJ', 'ADJ', 'PUNCT')	93	390	99	42	401	14	108	212	151	47	33	133	1434	167
('ADJ', 'PUNCT', 'CCONJ')	128	481	110	50	812	20	125	112	91	24	25	72	675	58
('PUNCT', 'CCONJ', 'PRON')	673	1338	435	255	3639	119	662	448	324	87	72	194	869	186
('PRON', 'AUX', 'PRON')	1393	1899	446	229	2229	156	1127	810	392	122	205	441	1039	240
('AUX', 'PRON', 'ADP')	402	511	118	59	868	37	302	280	177	99	58	200	2747	174
('ADP', 'PRON', 'DET')	86	162	27	8	270	11	116	56	26	39	17	45	2401	98
('PRON', 'DET', 'ADJ')	517	759	155	66	1303	50	367	345	193	104	59	226	3877	282
('CCONJ', 'ADV', 'AUX')	124	371	134	57	732	24	219	225	133	69	41	210	395	71
('ADV', 'AUX', 'PRON')	1171	1639	475	166	2104	133	1170	692	306	214	215	681	3008	176
('AUX', 'PRON', 'PRON')	643	1001	202	81	1360	76	599	320	152	83	103	265	869	75
('VERB', 'PUNCT', 'SCONJ')	2001	1289	399	219	1471	144	1079	296	120	189	138	416	9073	333
('SCONJ', 'PRON', 'PRON')	1040	891	208	124	1286	101	620	352	209	75	74	178	986	127
('PRON', 'PRON', 'ADV')	804	1242	302	139	1873	103	633	589	283	155	104	353	1536	192
('PRON', 'ADV', 'ADV')	869	1824	543	301	2595	148	718	1237	630	183	205	774	3393	301
('ADV', 'ADV', 'VERB')	570	786	233	97	1028	74	449	535	298	93	79	475	2238	206
('ADV', 'VERB', 'AUX')	557	613	71	80	1214	35	272	252	99	103	82	268	2679	121
('PRON', 'ADV', 'ADP')	744	1329	328	181	1799	94	561	830	362	159	105	359	3832	312
('ADV', 'ADP', 'PROPN')	147	194	28	27	165	5	92	155	98	26	17	46	2771	216
('ADP', 'PROPN', 'VERB')	300	210	43	28	216	6	242	196	152	34	46	38	7380	512
('PROPN', 'VERB', 'PUNCT')	582	327	91	46	382	12	379	241	129	45	40	82	8917	524
('VERB', 'PUNCT', 'ADV')	1517	1266	453	152	1673	163	930	328	175	173	123	460	4074	287
('PUNCT', 'ADV', 'AUX')	994	1263	341	126	1733	128	721	325	142	86	97	489	1510	112
('PRON', 'DET', 'ADV')	18	4	13	14	6	1	7	38	11	0	0	3	258	8
('DET', 'ADV', 'ADJ')	10	11	12	3	19	1	9	32	23	1	1	11	3873	53
('ADV', 'ADJ', 'NOUN')	308	381	91	34	465	44	229	280	161	78	61	212	9672	409
('ADV', 'ADV', 'NOUN')	71	177	63	20	189	9	79	193	84	38	23	89	1059	114
('ADV', 'NOUN', 'VERB')	141	201	55	20	183	14	93	160	61	63	47	92	1106	117
('NOUN', 'VERB', 'ADJ')	149	249	26	9	184	14	125	155	63	29	14	56	1735	106
('ADJ', 'ADP', 'DET')	263	792	258	92	1175	43	315	596	411	106	67	162	5370	455
('CCONJ', 'VERB', 'ADV')	424	572	67	39	734	49	280	215	100	27	35	141	995	86
('ADV', 'PART', 'PUNCT')	189	266	52	27	395	29	62	109	78	29	44	153	553	20
('PART', 'PUNCT', 'PRON')	107	128	17	15	180	12	32	21	9	7	9	32	51	3
('PRON', 'ADV', 'AUX')	142	104	60	13	167	16	104	69	50	13	16	65	139	88
('ADV', 'AUX', 'PUNCT')	267	218	72	43	376	21	157	123	83	35	31	174	416	54
('PROPN', 'VERB', 'ADP')	97	258	31	21	277	4	181	211	94	16	7	92	3459	384
('DET', 'NOUN', 'ADP')	3490	4593	1266	441	7421	352	3634	3443	2522	1134	568	1572	67000	8075
('ADP', 'PUNCT', 'ADV')	76	151	52	24	165	9	52	77	50	20	6	62	515	50
('PUNCT', 'ADV', 'ADV')	221	242	135	45	386	25	136	143	76	61	27	190	1456	209
('ADV', 'ADV', 'ADJ')	286	739	324	178	901	47	193	714	345	74	83	292	3760	278
('PUNCT', 'ADV', 'SCONJ')	82	69	75	33	120	5	147	70	22	16	10	13	528	50
('ADV', 'SCONJ', 'DET')	33	22	31	7	38	1	45	42	35	9	4	6	322	113
('NOUN', 'ADP', 'DET')	2351	4056	1096	343	7432	313	2613	2776	2184	1211	512	1439	49087	7845
('NOUN', 'VERB', 'PART')	73	78	35	6	89	12	45	85	64	11	6	29	1562	92
('VERB', 'PART', 'VERB')	74	75	90	20	69	10	49	151	98	8	9	11	253	156
('PART', 'VERB', 'PUNCT')	1520	1750	612	223	1946	137	1036	1268	869	210	226	513	14696	1127
('PUNCT', 'PRON', 'ADP')	589	402	80	33	683	21	248	87	48	112	56	151	5253	272
('PRON', 'ADP', 'PROPN')	294	195	34	20	215	4	159	120	70	23	23	37	1849	158
('ADP', 'PROPN', 'PROPN')	137	225	27	23	219	4	47	323	88	50	38	31	4291	939
('PROPN', 'PROPN', 'DET')	62	110	2	8	134	3	20	46	22	8	7	2	947	182
('PROPN', 'DET', 'NOUN')	475	429	59	30	804	10	344	214	135	54	43	98	5251	458
('PUNCT', 'ADV', 'ADP')	112	217	85	25	322	17	107	153	69	52	25	147	1381	249
('ADV', 'ADP', 'DET')	1066	2414	514	228	3581	158	1096	1146	727	372	208	980	12600	1157
('NOUN', 'VERB', 'PRON')	937	1288	224	98	1307	126	874	930	531	174	123	589	6611	477
('VERB', 'PRON', 'ADV')	1700	2654	617	299	3122	253	1498	1532	768	252	218	905	4858	394
('ADV', 'ADV', 'PUNCT')	470	933	192	102	1195	89	476	432	216	104	109	621	1634	79
('ADV', 'AUX', 'ADJ')	32	44	22	6	28	4	29	32	24	14	1	13	515	48
('AUX', 'ADJ', 'ADJ')	40	108	23	9	84	5	43	83	58	24	15	30	614	72
('ADJ', 'ADJ', 'ADJ')	18	59	27	8	118	3	15	72	46	22	6	8	819	116
('ADJ', 'ADJ', 'NOUN')	338	778	164	55	1401	68	261	507	322	165	78	197	12718	1174
('ADJ', 'NOUN', 'ADV')	449	722	122	54	1307	63	340	337	189	122	56	337	7460	444
('NOUN', 'ADV', 'AUX')	119	106	50	15	177	6	92	64	53	22	11	87	732	167
('VERB', 'ADV', 'ADV')	469	898	268	146	1067	90	376	733	392	75	81	378	2959	300
('ADJ', 'CCONJ', 'ADJ')	224	582	78	38	553	19	214	136	70	62	37	87	2681	243
('CCONJ', 'ADJ', 'ADP')	38	126	24	17	147	3	37	62	35	5	5	14	442	17
('ADJ', 'ADP', 'PRON')	95	167	43	11	250	4	60	101	71	20	6	27	504	40
('ADP', 'PRON', 'ADV')	241	293	61	16	579	8	144	138	110	29	25	96	787	64
('PRON', 'ADV', 'PUNCT')	727	1196	198	97	1470	92	702	366	199	98	91	462	908	50
('ADV', 'ADV', 'CCONJ')	172	170	45	14	244	10	93	86	39	20	9	98	573	10
('VERB', 'ADV', 'ADP')	421	705	152	91	800	66	286	543	199	68	46	220	3171	381
('ADV', 'ADP', 'NOUN')	402	832	145	96	828	56	323	791	212	101	74	219	5268	319
('PUNCT', 'INTJ', 'PUNCT')	344	1284	353	157	2537	180	389	478	258	77	35	541	0	0
('PUNCT', 'PROPN', 'PUNCT')	256	1186	229	60	1143	27	257	380	169	200	118	247	10330	1324
('PROPN', 'PUNCT', 'PRON')	309	504	96	79	532	30	201	144	77	32	67	96	2325	288
('VERB', 'PRON', 'PART')	421	431	93	49	518	35	292	253	187	36	43	145	392	104
('PRON', 'PART', 'PUNCT')	224	309	55	32	504	22	112	106	96	21	36	92	166	33
('PART', 'PUNCT', 'DET')	13	36	4	3	34	1	4	8	0	2	0	10	46	3
('NOUN', 'CCONJ', 'PRON')	124	147	79	41	162	5	162	343	126	19	15	110	419	61
('CCONJ', 'PRON', 'VERB')	561	952	318	152	1960	82	819	660	385	87	95	251	524	164
('PRON', 'PART', 'VERB')	600	621	141	73	626	41	373	304	180	61	57	190	719	151
('INTJ', 'PUNCT', 'PRON')	98	588	177	58	743	51	118	226	129	28	61	177	0	0
('PUNCT', 'PRON', 'DET')	519	372	70	32	594	25	287	81	51	97	31	120	4226	131
('NOUN', 'PUNCT', 'ADP')	333	409	136	28	531	29	343	317	94	162	67	332	5451	495
('PUNCT', 'ADP', 'DET')	341	636	212	57	1079	47	394	410	150	188	101	538	4993	587
('PUNCT', 'CCONJ', 'DET')	497	1013	210	97	2453	55	352	162	119	72	39	137	1787	182
('DET', 'NOUN', 'PART')	680	666	206	63	948	56	460	338	255	88	94	196	6304	537
('NOUN', 'PART', 'PUNCT')	88	79	21	4	117	6	22	26	20	6	6	32	228	18
('PRON', 'ADV', 'DET')	416	706	168	72	956	71	305	403	220	92	44	238	2141	178
('ADV', 'DET', 'ADJ')	463	1105	253	113	1580	90	379	608	330	139	103	374	6667	637
('NOUN', 'ADV', 'ADP')	292	601	170	85	875	35	277	537	227	95	38	197	5756	320
('ADV', 'ADP', 'PUNCT')	199	424	168	99	528	36	115	491	189	59	42	164	1577	70
('DET', 'ADJ', 'ADV')	47	48	15	14	61	4	27	27	23	12	6	31	231	66
('ADJ', 'ADV', 'PUNCT')	110	275	48	29	254	17	101	135	83	31	28	86	636	29
('ADV', 'PUNCT', 'ADJ')	19	70	18	7	72	1	44	33	13	12	9	48	346	15
('PUNCT', 'ADJ', 'DET')	1	10	4	0	10	1	7	9	2	3	2	1	210	8
('ADJ', 'DET', 'VERB')	1	1	2	2	1	1	2	2	0	0	0	0	0	2
('DET', 'VERB', 'ADJ')	3	0	5	1	0	0	4	3	3	0	0	2	3	9
('VERB', 'ADJ', 'PUNCT')	122	230	43	27	170	8	86	94	43	27	10	56	469	50
('ADJ', 'PUNCT', 'SCONJ')	244	323	117	67	321	19	143	93	38	51	26	92	1763	50
('SCONJ', 'PRON', 'VERB')	572	416	113	72	353	36	290	227	100	45	24	91	256	225
('SCONJ', 'PRON', 'ADV')	808	1033	381	245	1318	82	443	735	403	105	98	303	1195	207
('PRON', 'ADV', 'PRON')	163	212	88	49	241	28	124	202	91	17	20	119	263	32
('ADV', 'PRON', 'PART')	41	65	30	12	96	3	21	45	26	7	9	25	80	17
('PRON', 'PART', 'ADP')	189	163	41	21	213	13	80	74	58	17	11	30	374	41
('PART', 'ADP', 'VERB')	7	28	20	9	38	0	8	51	29	5	1	8	8	14
('ADP', 'VERB', 'PUNCT')	105	275	304	146	292	15	63	764	347	43	17	63	315	133
('PUNCT', 'CCONJ', 'ADV')	395	1013	310	141	2417	71	388	280	165	105	53	188	2093	125
('CCONJ', 'ADV', 'VERB')	317	776	214	77	1449	64	432	330	221	87	74	264	687	94
('SCONJ', 'PRON', 'PART')	174	159	41	30	177	13	54	86	54	13	16	37	272	62
('PRON', 'PART', 'ADV')	220	272	46	33	294	28	168	136	95	40	35	101	444	40
('PART', 'ADV', 'ADJ')	54	136	31	19	115	11	50	139	84	29	34	61	1025	43
('ADJ', 'ADJ', 'DET')	3	17	4	4	14	2	2	11	10	2	1	0	92	6
('ADJ', 'DET', 'NOUN')	77	265	44	21	268	16	131	151	90	36	32	23	2825	117
('ADP', 'PRON', 'AUX')	187	70	25	6	175	8	90	56	53	17	13	30	260	80
('PRON', 'AUX', 'VERB')	238	216	71	23	215	8	139	75	66	31	29	58	254	280
('AUX', 'VERB', 'PUNCT')	366	356	306	29	368	12	254	116	200	53	45	120	1497	1554
('AUX', 'PRON', 'NOUN')	87	90	33	11	123	12	78	114	35	22	15	27	1334	48
('PRON', 'NOUN', 'VERB')	324	147	39	12	194	18	180	145	51	22	15	43	3631	88
('PUNCT', 'VERB', 'PRON')	1510	1894	419	233	3391	145	1094	1272	669	156	89	509	3977	250
('PRON', 'PUNCT', 'VERB')	161	120	26	15	113	9	82	43	23	11	9	40	65	16
('PUNCT', 'VERB', 'AUX')	32	96	11	7	133	4	33	28	2	17	13	57	1044	22
('VERB', 'AUX', 'PRON')	31	136	23	11	193	7	37	103	41	16	21	41	195	42
('AUX', 'PRON', 'PART')	262	446	82	39	471	24	203	184	118	43	56	114	443	65
('ADV', 'ADJ', 'ADP')	165	484	226	104	736	17	106	633	306	41	41	105	2054	212
('DET', 'ADJ', 'ADP')	69	63	31	11	107	5	62	56	47	11	3	19	630	115
('ADV', 'DET', 'NOUN')	1705	2689	641	279	3154	243	1288	1664	850	364	234	1052	16711	1452
('ADP', 'NOUN', 'VERB')	829	1036	174	133	1128	83	610	1168	311	214	131	302	10317	528
('NOUN', 'ADV', 'ADJ')	193	411	116	56	532	26	144	252	142	64	35	119	4363	213
('ADJ', 'ADP', 'PUNCT')	84	422	104	56	398	8	60	274	128	20	20	60	838	78
('PUNCT', 'ADV', 'PRON')	374	449	161	46	635	42	266	141	49	65	24	273	1214	159
('ADV', 'PRON', 'PROPN')	6	5	2	4	8	0	1	4	0	1	0	2	70	6
('PRON', 'PROPN', 'VERB')	59	36	8	5	13	0	37	18	12	3	3	9	270	20
('PROPN', 'VERB', 'AUX')	136	81	19	11	112	0	100	48	19	14	13	13	2769	50
('AUX', 'PUNCT', 'VERB')	502	514	90	69	763	32	290	243	148	57	36	198	3850	78
('PUNCT', 'VERB', 'ADV')	343	464	117	63	445	40	236	271	108	32	23	196	2231	141
('ADV', 'NOUN', 'ADP')	89	150	74	27	170	9	66	253	95	41	33	38	1879	183
('ADP', 'CCONJ', 'ADV')	24	53	22	5	114	2	11	45	22	3	1	14	43	5
('ADV', 'AUX', 'DET')	347	404	77	41	412	31	297	132	74	65	45	209	4330	375
('NOUN', 'PROPN', 'DET')	28	63	5	2	328	1	37	27	13	4	5	3	871	67
('NOUN', 'NOUN', 'CCONJ')	93	89	30	12	149	7	129	131	45	11	7	27	1469	95
('NOUN', 'ADP', 'VERB')	67	171	135	41	189	8	33	417	195	18	6	23	429	148
('ADP', 'VERB', 'CCONJ')	18	46	37	9	25	0	14	103	31	4	1	9	23	12
('VERB', 'PRON', 'NOUN')	254	148	45	10	176	21	212	219	65	15	11	69	1314	56
('PRON', 'NOUN', 'ADP')	154	92	42	17	131	7	101	235	82	21	9	22	4688	135
('NOUN', 'ADP', 'ADP')	65	103	46	25	209	6	57	224	107	13	16	29	927	213
('ADP', 'ADP', 'DET')	123	236	66	28	471	12	87	188	180	25	12	79	236	290
('NOUN', 'AUX', 'ADV')	363	598	122	65	698	45	285	395	216	85	68	435	8179	577
('AUX', 'ADV', 'ADV')	341	923	269	135	1299	57	247	686	356	94	104	499	4081	360
('ADP', 'PRON', 'VERB')	1052	503	91	52	947	40	496	321	186	71	52	104	759	140
('PRON', 'VERB', 'PROPN')	119	96	19	13	73	7	77	65	36	8	10	28	179	49
('VERB', 'PROPN', 'PROPN')	19	197	16	13	257	19	53	85	27	9	8	9	1749	246
('PROPN', 'PROPN', 'PUNCT')	110	484	60	31	550	29	112	497	139	98	83	35	8025	2780
('PROPN', 'PUNCT', 'CCONJ')	29	158	43	21	318	2	61	84	39	36	14	17	1246	128
('PUNCT', 'CCONJ', 'PUNCT')	26	60	45	19	224	4	20	35	11	52	7	93	353	49
('CCONJ', 'PUNCT', 'ADV')	5	11	8	5	29	1	1	15	9	9	1	18	66	5
('PUNCT', 'ADV', 'CCONJ')	40	59	21	16	68	2	46	52	15	29	12	43	321	6
('ADV', 'CCONJ', 'PRON')	54	47	25	8	49	3	40	72	29	10	5	44	49	7
('CCONJ', 'PRON', 'ADV')	159	160	35	27	229	7	79	100	35	20	18	74	303	33
('AUX', 'PUNCT', 'DET')	117	176	23	9	277	5	75	32	4	33	20	44	1140	33
('PUNCT', 'DET', 'PROPN')	24	50	22	7	43	0	24	47	12	4	5	4	770	121
('DET', 'PROPN', 'PUNCT')	55	70	54	14	67	3	56	180	60	12	9	16	2499	630
('PROPN', 'PUNCT', 'SCONJ')	53	75	25	14	113	3	44	33	13	0	5	17	679	74
('ADV', 'CCONJ', 'DET')	126	146	36	21	150	3	90	76	41	14	11	63	674	7
('NOUN', 'ADJ', 'AUX')	167	128	41	18	149	10	60	121	70	43	12	56	2094	121
('ADJ', 'AUX', 'PUNCT')	557	555	186	103	586	32	243	311	190	112	71	166	4301	170
('ADV', 'ADP', 'PRON')	317	309	82	31	504	27	201	209	128	44	30	107	1013	85
('ADP', 'PRON', 'ADP')	171	248	54	27	452	8	136	298	155	39	17	51	1527	140
('PRON', 'ADP', 'VERB')	45	78	57	42	85	6	24	192	70	11	5	17	13	26
('ADP', 'VERB', 'PROPN')	2	0	2	1	1	0	6	4	4	0	0	0	52	5
('PROPN', 'PUNCT', 'DET')	106	153	36	22	151	8	116	106	52	18	30	36	2803	353
('PUNCT', 'DET', 'ADJ')	294	674	113	49	936	39	320	195	107	78	49	220	4140	465
('PUNCT', 'PRON', 'NOUN')	231	89	23	10	130	9	60	58	9	12	5	26	2317	60
('PRON', 'PART', 'ADJ')	101	169	61	22	198	7	62	105	80	21	28	17	206	47
('PART', 'ADJ', 'VERB')	78	114	38	18	185	8	47	70	37	16	19	19	576	54
('PRON', 'PRON', 'AUX')	71	113	24	6	127	9	43	21	12	5	13	28	63	49
('PRON', 'AUX', 'AUX')	20	30	11	0	59	0	11	12	7	0	4	5	32	21
('ADV', 'AUX', 'ADV')	184	221	95	24	302	22	116	201	103	31	31	130	1482	157
('AUX', 'ADV', 'VERB')	285	306	60	30	294	26	157	146	65	42	32	100	1156	224
('ADV', 'VERB', 'PUNCT')	2276	2326	536	233	3180	255	1635	1028	517	250	242	1129	7366	413
('ADV', 'ADJ', 'PUNCT')	368	867	311	116	854	68	347	546	230	96	83	344	3913	194
('PRON', 'PRON', 'DET')	242	278	55	24	536	26	182	81	33	33	15	46	599	40
('AUX', 'PRON', 'PUNCT')	136	351	54	26	452	15	83	85	40	19	23	110	396	28
('PRON', 'PUNCT', 'ADP')	46	32	25	8	95	4	26	48	13	16	5	27	172	24
('PUNCT', 'ADP', 'ADP')	4	12	8	2	32	1	2	19	6	2	1	16	74	20
('NOUN', 'PART', 'VERB')	646	676	229	71	940	45	471	515	323	128	118	153	10374	761
('VERB', 'PUNCT', 'VERB')	1357	913	262	130	1081	73	766	514	316	99	55	300	6426	351
('PUNCT', 'VERB', 'NOUN')	134	113	37	19	304	22	109	186	29	25	8	31	1683	59
('NOUN', 'CCONJ', 'AUX')	124	160	8	6	179	10	80	59	30	19	12	26	695	56
('CCONJ', 'AUX', 'ADV')	89	154	17	14	230	8	52	47	26	15	17	49	611	30
('AUX', 'ADV', 'ADP')	180	328	84	38	417	22	119	243	118	44	32	133	3189	268
('ADV', 'VERB', 'CCONJ')	383	311	67	25	409	27	230	144	64	37	29	157	555	35
('ADV', 'ADJ', 'VERB')	276	607	160	103	623	35	179	421	190	84	74	159	2516	217
('AUX', 'PUNCT', 'CCONJ')	392	521	86	103	1874	36	171	116	59	60	32	55	816	45
('VERB', 'ADV', 'PART')	131	189	31	24	145	19	68	151	84	12	20	58	472	68
('PRON', 'AUX', 'ADJ')	240	437	90	28	438	23	215	284	190	63	58	123	814	177
('AUX', 'ADJ', 'VERB')	52	148	16	8	116	3	44	48	37	21	7	36	525	121
('VERB', 'PUNCT', 'AUX')	387	410	71	48	482	27	209	210	111	61	27	167	4814	269
('VERB', 'CCONJ', 'AUX')	157	160	10	5	289	12	92	40	35	18	16	73	521	35
('CCONJ', 'AUX', 'PART')	20	19	0	1	8	2	15	5	0	4	2	5	35	1
('AUX', 'PART', 'ADJ')	61	67	10	6	71	4	70	60	27	12	16	18	339	44
('VERB', 'CCONJ', 'VERB')	1023	1042	127	51	979	77	715	355	142	78	65	246	1688	140
('PUNCT', 'AUX', 'DET')	114	180	23	15	272	6	82	98	52	41	27	63	3094	233
('PRON', 'PRON', 'PRON')	271	251	75	30	402	34	173	82	29	27	19	73	212	45
('PRON', 'AUX', 'NOUN')	165	132	47	18	156	10	110	145	36	23	18	44	275	74
